"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
1,"Cybersecurity Engineer I","South State Bank","Winter Haven, FL",,"Recommend and implement additional security solutions or enhancements to existing security solutions to improve overall enterprise security.","Posted
Posted 5 days ago","https://www.indeed.com/rc/clk?jk=adb095e98503db8e&bb=nUCzAG8_dFntIz9Nl1JphvwAx9gs5w9_xz9TXidBXfuLTGBXrluCDK3TVTNyX-fDiqG05x6VcNopuiZth6bRYoJ8vU3_9dKfyaQbmDYQ0E8Qif_V7V_3HHMnK3ptB2Fx&xkcb=SoD067M3_Po5tCxTsB0KbzkdCdPP&fccid=1cae4ecf9aba0acb&vjs=3"
2,"Cyber Security Engineer - Remote (WFH)","COGNITIVE MEDICAL SYSTEMS INC","Remote in Tampa, FL 33619","$115,000 - $140,000 a year","Determine security requirements by evaluating business strategies and requirements; researching information security standards conducting system security and…","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=d747d53eb8824995&bb=nUCzAG8_dFntIz9Nl1Jphg39SQqoxjk8mYKh2QtPfHmrYAzj5LkJn-7sw7ZSgWNqBRcFrG8V0C6UIIVkRRPXmU8KmN82m-LiA9UqEKBL-YYgy3KQhB5Abi48ERR4Wk3z&xkcb=SoBp67M3_Po5tCxTsB0JbzkdCdPP&fccid=fd1195587d58ce4d&vjs=3"
3,"Information Security Engineer I","Ryder System","Miami, FL 33178",,"Practical experience with database security, content filtering, vulnerability scanning, and anti-malware intermediate required.
Python, Java, C/C++ preferred.","Posted
Posted 3 days ago","https://www.indeed.com/rc/clk?jk=4371c17cf0d79d27&bb=nUCzAG8_dFntIz9Nl1JphuHCgGUYsfZNWnLYwzU9HpjuFwukPUSVcVclBBQ0p474seEZii8vvGhGhfUWrCVGbPfjjBsWNCuUSG4mlMcK0oDYisDgYK0WCQ%3D%3D&xkcb=SoDd67M3_Po5tCxTsB0IbzkdCdPP&fccid=22f3171d623451cc&vjs=3"
4,"Data Security Engineer","City National Bank of Florida","Miami, FL 33131 
(Downtown area)",,"2-4 years of related security systems administration with data protection management solutions and preferably some experience with endpoint, network, or…","Posted
Posted 2 days ago","https://www.indeed.com/rc/clk?jk=f8356c8cfc42be9d&bb=nUCzAG8_dFntIz9Nl1JphkB4QbWyIn57pmc3X6kqS_QcwRqbtOvfwnZkJKG_ld97NFQyWR1HledgJh-orYkjUNdYtpbdUF5HuqvORTt2Sg-ayxoKiWPaiqvT-LCtYptz&xkcb=SoBT67M3_Po5tCxTsB0PbzkdCdPP&fccid=5524a4d8649d40bd&vjs=3"
5,"IT Security Engineer","Mount Sinai Medical Center - Florida","Miami Beach, FL 33140 
(Nautilus area)",,"Evaluate, recommend, implement network and security tools.
Evaluate and make recommendation for network and security infrastructure enhancements.","Posted
Posted 3 days ago","https://www.indeed.com/rc/clk?jk=ae03e412bee1329b&bb=nUCzAG8_dFntIz9Nl1Jphs_eJHnFi4XW6we0xnqd9uYVG7ecwtmoqGzUQWgWpj9rWseNNOBP-4XO2H2d7slqEW7VcFzTmWBTo2rw2rPhLweTcciuIXRh0pQcRrOWwl_q&xkcb=SoDn67M3_Po5tCxTsB0ObzkdCdPP&fccid=3d022164dba1c289&vjs=3"
6,"Cyber Security Engineer","Cinch Home Services","Hybrid work in Boca Raton, FL 33431",,"Minimum 5+ years of experience in cyber security operations and incident response.
Monitor and analyze security events using SIEM and other security tools.","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=1bb646ca9199e266&bb=nUCzAG8_dFntIz9Nl1Jphi5kgqEs9vmGGHxxC7llLGQ9gycDavrtupB-eUY2jbEiQqRk0oql1RZ-5cjC0PI2OAZC1G42i0tjqO0dgovtaqmu0RsvzXFeuj5-HKFqVqKm&xkcb=SoB667M3_Po5tCxTsB0NbzkdCdPP&fccid=bb57edad43673a1f&cmp=Cinch-Home-Services&ti=IT+Security+Specialist&vjs=3"
7,"Cybersecurity Engineer","ThreatLocker","Orlando, FL",,"Respond to security incidents promptly.
Develop and implement security policies.
Conduct post-incident analyses to prevent future breaches.","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=dd6bfe3a1e7610d4&bb=nUCzAG8_dFntIz9Nl1Jphj7RLOuIl0eOAP6twWI5wPCG1yLrfKjDs6laU0yMzyf67oD_UH01UgzEtugzGt_e-xPdTD9n1k7IwviheO0zOFTuX1RBHUILFX_OCRHuwX0C&xkcb=SoDO67M3_Po5tCxTsB0MbzkdCdPP&fccid=177b3b6148b98576&vjs=3"
8,"Application Security Engineer","Applied Research Associates, Inc","Niceville, FL 32578",,"Familiar with common security libraries, RMF security controls, common security flows, and vulnerability assessments for C++ applications.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4855a7a967309ef1&bb=nUCzAG8_dFntIz9Nl1JphvdDIpukNIT9AB4RPUpEmE0-WgLLnN7Ooa4qijIy2Bc97L5ddXWr0ii1QutxhRCUTneuDVfDQ5Mxd3o1br476Wgg3kVU1c6cYK8JQXX6guzk&xkcb=SoAn67M3_Po5tCxTsB0DbzkdCdPP&fccid=600e6abd00b4b668&vjs=3"
9,"Security Engineer","AnyDesk Software GmbH","Tampa, FL",,"Proven experience in a security engineering role, with a focus on endpoint security, network security, and SEIM solutions.
Free drinks and weekly team lunch.","Posted
Posted 10 days ago","https://www.indeed.com/rc/clk?jk=08cacfef3c2c8c29&bb=nUCzAG8_dFntIz9Nl1JphvtLyHrAAbc_D4iOVrhTmCbZuxYQpZIPiztxoThCZiIEC3UVoRaVR2hlHS66uMzZyjUM6nTIMejpxLCSlSM0Sd99BWNe5VB_nbRGFfqH4dga&xkcb=SoCT67M3_Po5tCxTsB0CbzkdCdPP&fccid=067e199c18e59d17&vjs=3"
10,"Network Security Engineer","Health Care District of Palm Beach County","West Palm Beach, FL 33401",,"Minimum 5 years experience in the network security engineer field required.
Evaluate new networking and network security technologies as they evolve and…","Posted
Posted 11 days ago","https://www.indeed.com/rc/clk?jk=001858568849b9a4&bb=nUCzAG8_dFntIz9Nl1Jphr-Si2hn5Rw2OUAv9Zp2W8K53R3v80SCwHkgG2oyiGlHKR2oeTuIIAY-MOUCa-ynyXMqNh-h6ydv4IrjYQZhh-N7ipscvtx0Q6HDeMxOoVox&xkcb=SoAO67M3_Po5tCxTsB0BbzkdCdPP&fccid=7e2cc99b414f17d4&vjs=3"
