name,state,total_population,median_household_income,gross_rent,median_home_value,total_in_labor_workforce,total_not_in_labor_workforce,total_education,education_no_hs,education_hs,education_associates,education_bachelors,education_graduate,total_occupancy_status,occupancy_status_occupied,occupancy_status_vacant,total_home_tenure,home_tenure_owner_occupied,home_tenure_renter_occupied,reporting_date,region_type,city
Alabama,01,4850771,46472,747,132100,3876136,1642927,3276637,481059,1012551,979449,503930,299648,2231126,1856695,374431,1856695,1273217,583478,2017-01-01,state,
Alabama,01,4864680,48486,772,137200,3894696,1657532,3299958,470043,1020172,987148,515443,307152,2244462,1860269,384193,1860269,1275223,585046,2018-01-01,state,
Alabama,01,4876250,50536,792,142700,3907144,1664359,3320877,458922,1022839,993344,529178,316594,2255026,1867893,387133,1867893,1284748,583145,2019-01-01,state,
Alabama,01,4893186,52035,811,149600,3926842,1666862,3344006,438947,1014342,1013673,546674,330370,2270398,1888504,381894,1888504,1306505,581999,2020-01-01,state,
Alabama,01,4997675,54943,852,157100,4005499,1691883,3413803,430047,1041209,1032122,563628,346797,2278526,1902983,375543,1902983,1320571,582412,2021-01-01,state,
Alabama,01,5028092,59609,925,179400,4046614,1701528,3428520,421180,1041725,1032770,572252,360593,2296920,1933150,363770,1933150,1347792,585358,2022-01-01,state,
Florida,12,20278447,50883,1077,178700,16645386,6872624,14396066,1787348,4170468,4342392,2616384,1479474,9259684,7510882,1748802,7510882,4868827,2642055,2017-01-01,state,
Florida,12,20598139,53267,1128,196800,16932309,7000510,14686727,1769489,4231678,4402103,2721635,1561822,9348689,7621760,1726929,7621760,4954601,2667159,2018-01-01,state,
Florida,12,20901636,55660,1175,215300,17201999,7085973,14965745,1767583,4276237,4450224,2827938,1643763,9448159,7736311,1711848,7736311,5058841,2677470,2019-01-01,state,
Florida,12,21216924,57703,1218,232000,17486583,7178515,15255326,1751798,4308542,4535040,2938593,1721353,9562324,7931313,1631011,7931313,5250878,2680435,2020-01-01,state,
Florida,12,21339762,61777,1301,248700,17577024,7128734,15349290,1682505,4282929,4543900,3038293,1801663,9764897,8157420,1607477,8157420,5420631,2736789,2021-01-01,state,
