streetAddress,city,state,zipcode,latitude,longitude,price,homeStatus,datePosted,description
123 W Mohave St,Phoenix,AZ,85003,33.430843,-112.07611,155000.0,FOR_SALE,2023-08-26,Location location location!!! Just bring your imagination! Investor/Rehab special. The value is in the land on this one. Zoned high density multi-family. Call today!
4140 N 104th Dr Unit 73,Phoenix,AZ,85037,33.49411,-112.28541,179000.0,FOR_SALE,2023-06-09,"Rare find! 1bed 1 bath move in ready new paint and carpet. close to shopping, schools and freeways. this is a must see"
4432 S 8th St,Phoenix,AZ,85040,33.405598,-112.062706,189900.0,FOR_SALE,2023-02-08,"Attention investors, fix and flippers, contractors, Fantastic opportunity to own this 3 bed, 2 bath single-level investment property in Phoenix! Great location close to restaurants, markets, and parks. Discover TONS of potential to get creative and transform this diamond in the rough into your dream home. You'll also find a spacious backyard ready for your personal touch. With room for a pool, you can make it a complete paradise! What are you waiting for? Don't miss out!NO WHOLESELLERS**NO SELLER FINANCING**"
7148 W Catalina Dr,Phoenix,AZ,85033,33.48236,-112.21404,240000.0,FOR_SALE,2023-09-08,"Welcome to this 4-bedroom, 2-bath home in the thriving Maryvale Village neighborhood, available at an affordable price to account for the fire damage. Located conveniently close to shopping, restaurants and entertainment, this is a fabulous investment opportunity. Upgraded features installed just a few years ago include granite countertops, flooring, and sleek black appliances. This home offers easy access to both the I-10 and the 101 freeways, enhancing your connectivity. Don't miss a great opportunity on this fantastic deal on a home that has a ton of potential! This is an As- Is sale and structure has fire damage."
3222 W Yuma St,Phoenix,AZ,85009,33.435364,-112.12912,210000.0,FOR_SALE,2023-09-02,***INVESTMENT OPPORTUNITY*** IN AN AREA OF REGENTRIFICATION WITH EASY ACCESS TO BOTH THE I-10 & I-17 (FREEWAY COMMUTE TO ANYWHERE).  SELLER HAS NEVER OCCUPIED PROPERTY. ESTATE IS IN FINAL STAGES OF PROBATE APPROVAL. PROPERTY BEING IN CURRENT CONDITION.  **CASH ONLY**.  PLEASE VERIFY ALL PERTINENT FIGURES AND FACTS.
4528 N 17th Ave,Phoenix,AZ,85015,33.50338,-112.09594,239000.0,FOR_SALE,2023-08-29,"What a Deal! One Story Family Home in Phoenix, 3 Bedrooms, 2 Bathrooms, Living Room and Kitchen. The Kitchen has newer style cabinets, countertop and appliances. Nice Rear Yard, One Carport space with driveway, Bring your imagination and toolbox to this one!  Close to shopping, School and more."
3848 N 3rd Ave Unit 1046,Phoenix,AZ,85013,33.49414,-112.080826,238500.0,FOR_SALE,2023-07-08,"Highly motivated!! Submit your offers! Super Cute 1 Bedroom 1 Bathroom First Floor Condo in Gated Community. Lots of Windows, Large Walk in Closet, Breakfast Bar, Covered Patio and Assigned Covered Parking. Community Pool, Gym and Play area. Located just minutes to Downtown and the Stadiums .Easy freeway Access. Close to Shopping, Restaurant's, Parks, Library. Perfect Starter Home or Great Investment Opportunity."
3638 W Medlock Dr,Phoenix,AZ,85019,33.511757,-112.13806,299000.0,FOR_SALE,2023-09-05,"A spacious floor plan and sizable rooms await the savvy buyer. A modern touch to the kitchen, bathrooms, and living spaces can unlock exceptional value and appeal.Attractive Features From owned solar panels and ceiling fans throughout to mature, easy-maintenance desert landscaping, this property's features enhance its allure. A large lot, covered patio, and quiet street add to the desirability, creating an inviting setting.Positioned conveniently close to Grand Canyon University, highways, and shopping, this home combines privacy and accessibility."
1707 S 1st St,Phoenix,AZ,85004,33.430443,-112.07239,269000.0,FOR_SALE,2023-08-30,ONE OR MORE MEMBERS OF THE SELLING ENTITY ARE REAL ESTATE BROKERS IN THE STATE OF ARIZONA. Beautiful home in a central location near downtown Phoenix . The home was recently completely remodeled and is ready to be occupied. The main house consists of 4 bedrooms and 1 bathroom with a RV home in the back with 2 bedrooms and 1 bathroom. RV is included in the sale.
3011 W Adams St,Phoenix,AZ,85009,33.449116,-112.124016,275000.0,FOR_SALE,2023-08-31,"Great home Newer roof about 7 Years old, AC unit in good condition Dual Pane Windows, Kitchen has Raised Panel White Cabinets. Gas Stove & Oven, Gas Water Heater Single Car Garage, Block fewnce with a Cast Iron Gate. Chain link fence in the Back Yard. Washer & Dryer hoock up is on the Covered Patio.  Both bedrooms have closets that you step into. Polished and sealed Concrete floors."
